balance,description,image,image_alt,model_auto,navigation_categories,price,producer,product_url,title
,"Вкладыши коренные 0,75 (кт.) без упорных подшипников -07 ""ПРЕМИУМ""  ",,,ВАЗ-2101,,"506,10",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши коренные 0,75 (кт.) без упорных подшипников -10, Калина, Приора  ",,,ВАЗ-2108,,"376,95",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши коренные 0,75 (кт.) без упорных подшипников -10, Калина, Приора ""ПРЕМИУМ""  ",,,ВАЗ-2108,,"532,35",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши коренные 1,0 (кт.) без упорных подшипников -07  ",,,ВАЗ-2101,,"375,90",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Вкладыши шатунные ст. (кт.) -10 (фирм.упак. Лада-Имидж)  ,,,ВАЗ-2101,,"324,45",LADA ООО &quot;Дайдо Металл Русь&quot;,,
,"Гидрокомпенсатор 4,2123 нов.обр. (с втулкой в сборе)  кт. 8 шт. Riginal  ",,,ВАЗ-2121,,"2 933,03",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши коренные 1,0 (кт.)  09 2110, Калина, Приора  ",,,ВАЗ-2108,,"304,50",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,"Вкладыши шатунные ст. (кт.) ВАЗ-2180 Vesta, X-Ray  ",,,,,"1 248,45",LADA яяДАЙДО МЕТАЛЛ РУС ООО Г. ЗАВОЛЖЬЕ,,
,"Гидрокомпенсатор 4,2123 нов.обр. (с втулкой в сборе) Riginal  ",,,ВАЗ-2121,,"377,31",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши коренные 1,25 (кт.) -2107, 2121, 2123  ",,,ВАЗ-2101,,"375,90",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка гидрокомпенсатора 4 (ВПК)  ,,,ВАЗ-2121,,"578,55",LADA &lt;&gt;,,
,Головка блока ВАЗ-1118 для дв.V-1600 8 кл. клапаненая (ВАЗ)  ,,,,,"19 190,45",RIGINAL ООО ПКФ Ниагара,,
,"Вкладыши коренные 1,5 (кт.) -2107, 2121, 2123  ",,,ВАЗ-2101,,"330,75",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Вкладыши коренные ст. (кт.) без упорных подшипников -07  ,,,ВАЗ-2101,,"391,65",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка гидрокомпенсатора 4 (ОАО АВТОВАЗ)  ,,,ВАЗ-2121,,"122,85",LADA Вологодская подшипниковая корпорация (ВПК),,
,"Головка блока ВАЗ-1118,2115 голая  для дв. V-1600 8 кл. (ОАО АВТОВАЗ)  ",,,,,"11 856,60",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши коренные ст. (кт.) без упорных подшипников -07 ""ПРЕМИУМ""  ",,,ВАЗ-2101,,"700,35",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка грибка  м/насоса -07 (ОАО АВТОВАЗ)  ,,,ВАЗ-2101,,"131,25",LADA АВТОВАЗ АО г. Тольятти,,
,"Головка блока ВАЗ-1118,2190 дв.V-1600 мод. 11186 8 кл. в сборе (фирм. упак. LADA) (под терм. 2190)  ",,,,,"22 015,35",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши коренные ст. (кт.) без упорных подшипников -10, Калина, Приора  ",,,ВАЗ-2108,,"411,60",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка дистанционная натяжителя ремня ВАЗ 1118  ,,,,,"10,51",LADA Лада-Имидж ЗАО,,
,"Головка блока ВАЗ-1118,2190,2192,2170 1,6л  8 кл. (ОАО АВТОВАЗ)  ",,,,,"14 564,55",LADA АВТОВАЗ АО г. Тольятти,,
,"Вкладыши коренные ст. (кт.) без упорных подшипников -10, Калина, Приора ""ПРЕМИУМ""  ",,,ВАЗ-2108,,"730,80",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка кожуха ГРМ -099  ,,,ВАЗ-2108,,"22,32",LADA БРТ ПАО,,
,"Головка блока ВАЗ-1119 голая для дв. 1,4 л 16 кл. (ОАО АВТОВАЗ)  ",,,,,"18 629,10",LADA АВТОВАЗ АО г. Тольятти,,
,Вкладыши коренные ст. (кт.) ВАЗ-1111 Ока  ,,,,,"334,95",Дайдо Металл Русь ООО &quot;Дайдо Металл Русь&quot;,,
,Втулка кожуха ГРМ -099 БРТ  ,,,ВАЗ-2108,,"18,41",БРТ БРТ ПАО,,
,Головка блока ВАЗ-1119 для дв.V-1400 16 кл.в сборе(клапана+распредвалы+гидрокомп.) (ВАЗ)  ,,,,,"43 080,63",RIGINAL ООО ПКФ Ниагара,,
